2016 NOC	Occupation Title	Copy for View Profile on SAO/Career Quiz tools
0011	Legislators	"Legislators participate in the activities of federal, provincial, territorial or local government legislative bodies or executive councils."
0012	Senior government managers and officials	"Workers in this group direct and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial/territorial/federal departments, boards, agencies or commissions. They direct these organizations following legislation and policies made by elected representatives or legislative bodies."
0013	"Senior managers - financial, communications and other business services"	"Senior managers of financial, communications and other business services create and set the goals for the organization. Since they hold a leadership position in their organization, they also develop and approve policies and programs for their departments."
0014	"Senior managers - health, education, social and community services and membership organizations"	"Senior managers in this group plan, direct, control and evaluate membership and other organizations or institutions that deliver health, education, social or community services. This is done through middle management.  These workers create policies, either alone or in partnership with a board of directors, that establish the direction to be taken by these organizations."
0015	"Senior managers - trade, broadcasting and other services, n.e.c."	"Senior managers in this  group plan, organize, control, direct and run broadcasting, trade or other service companies through middle managers. They also create policies to manage the direction of these companies, either alone or working with a board of directors."
0016	"Senior managers - construction, transportation, production and utilities"	"Senior managers in this group organize, direct, control and judge the overall operations of goods production, utility, transportation and construction companies through middle managers. They also create policies to manage the direction of these companies, either alone or working with a board of directors."
0111	Financial managers	"Financial managers plan, manage and evaluate the operations of financial and accounting departments. They put in place the financial policies and systems for a company and make sure they run well. "
0112	Human resources managers	"Human resources managers direct, control and run the operations of human resources and personnel departments. They also develop and carry out policies and procedures regarding human resource planning, hiring, training and development and pay and benefit management."
0113	Purchasing managers	" Purchasing managers plan, organize, direct, control and check the activities of a purchasing department. They also create, design and carry out the purchasing policies of a business or institution. "
0114	Other administrative services managers	"Managers in this group plan, direct, evaluate, and organize departments responsible for corporate regulations and compliance, record keeping, security, admissions and other management services. They also organize finance, human resources, purchasing, administration or computer systems departments."
0121	"Insurance, real estate and financial brokerage managers"	"Insurance, real estate and financial brokerage managers negotiate, organize and direct the activities of companies or departments that provide insurance, mortgages, real estate or investment services."
0122	"Banking, credit and other investment managers"	"Banking, credit and other investment managers plan, control and evaluate financial activities. They oversee business development and manage performance to support their company’s strategic direction and policies. "
0124	"Advertising, marketing and public relations managers"	"Advertising, marketing and public relations managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, and e-business advertising, marketing, and public relations."
0125	Other business services managers	"Business service managers plan, organize, direct, and evaluate the operations of establishments that provide services to business, and ensure the quality of those services and client satisfaction."
0131	Telecommunication carriers managers	"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications company, department or facility."
0132	Postal and courier services managers	"Postal and courier services managers plan, organize and direct the activities and operations in postal facilities and in establishments that provide courier services."
0211	Engineering managers	"Engineering Managers plan, organize and direct the activities of an engineering department, service or firm."
0212	Architecture and science managers	"Architecture and science managers plan, organize and direct the activities of an architecture, landscape architecture, scientific or statistical department, service or firm."
0213	Computer and information systems managers	Computer and information systems managers plan and oversee computer and information systems.
0311	Managers in health care	"Managers in health care plan, organize and direct the delivery of health care services, such as diagnosis, treatment, nursing and therapy, within health care establishments."
0411	Government managers - health and social policy development and program administration	"Government managers in this group plan, organize, direct, control and evaluate the development and administration of health care policies, social policies and  programs designed to protect and promote the health and welfare of individuals and communities."
0412	"Government managers - economic analysis, policy development and program administration"	"Government managers in this group plan, organize and direct policy, research and programs in government such as taxation, international trade, labour markets, transportation or agriculture. They plan and direct policies and programs to promote industrial and commercial business development in urban and rural areas."
0413	Government managers - education policy development and program administration	"Government managers in this group plan, organize and direct the development and administration of elementary, secondary and post-secondary education policies and programs."
0414	Other managers in public administration	"Workers in this group plan, organize and direct the creation of policies and programs that govern the daily operations of legislatures and other activities unique to government, such as intergovernmental affairs and elections."
0421	Administrators - post-secondary education and vocational training	"Administrators in this group manage the academic and related activities of college or university faculties. They manage registration activities and academic records systems of colleges or universities. They also manage the operations of vocational schools specializing in trades, technology, business or other vocational subjects."
0422	School principals and administrators of elementary and secondary education	"School principals and administrators of elementary and secondary education plan, organize and direct the academic affairs of a school system, as well as the activities of teachers and other staff."
0423	"Managers in social, community and correctional services"	"Managers in this group plan, organize and direct the programs and activities of social service and community agencies, correctional institutions, counselling departments, labour organizations, professional associations, political parties and non-governmental organizations."
0431	Commissioned police officers	"People in this occupation plan, organize and direct police force administration and police activities such as maintaining law and order and detecting and preventing crime. "
0432	Fire chiefs and senior firefighting officers	"Fire chiefs and senior firefighting officers plan, organize and direct firefighting operations and fire prevention activities in fire departments. They work for municipal and federal governments and for industrial establishments with firefighting services."
0433	Commissioned officers of the Canadian Forces	"Commissioned officers of the Canadian Forces plan, organize and command the activities of personnel in the Canadian Forces. It includes all ranks of commissioned officers in the Air Force, Army, and Navy."
0511	"Library, archive, museum and art gallery managers"	"Library, archive, museum and art gallery managers plan, organize and direct the activities of libraries, archives, museums, art galleries or departments within such institutions."
0512	"Managers - publishing, motion pictures, broadcasting and performing arts"	"Managers in this group plan, organize and direct operations within publishing firms, film, theatre and record production companies and broadcasting facilities."
0513	"Recreation, sports and fitness program and service directors"	"People in this group oversee recreational, sports and fitness programs. They plan, organize, direct and evaluate the operations of recreational, sports and fitness programs and services, national or provincial sports-governing agencies, professional athletic teams."
0601	Corporate sales managers	"Corporate sales managers plan, direct and evaluate sales activities. They oversee businesses or departments involved in commercial, industrial, institutional, e-business, wholesale and retail sales."
0621	Retail and wholesale trade managers	"Retail and wholesale trade managers plan, direct and evaluate the operations of businesses that sell goods or services at the retail or wholesale level."
0631	Restaurant and food service managers	"Restaurant and food service managers plan, organize and run restaurants, bars, cafeterias and other food and beverage businesses. Restaurant managers are usually responsible for the “front of house”, while chefs take care of the kitchen in the “back of house.”
"
0632	Accommodation service managers	"Accommodation service managers plan, organize, direct, control and evaluate the operations of an accommodation establishment or of a department within such an organization."
0651	"Managers in customer and personal services, n.e.c."	"Workers in this group manage establishments that provide services not classified elsewhere, such as dry cleaning, hairdressing or residential cleaning. This group includes managers of schools that provide non-work related instruction in driving, languages, music, dance, art, cooking or fashion."
0711	Construction managers	"Construction managers plan, organize, direct and evaluate the activities of a construction company or a construction department, under the direction of a general manager or other senior manager."
0712	Home building and renovation managers	"Home building and renovation managers own, operate and manage companies engaged in the construction of new residential homes and the renovation of existing homes."
0714	Facility operation and maintenance managers	"Facility operation and maintenance managers plan, organize and direct operational activities or maintenance departments."
0731	Managers in transportation	"Managers in transportation plan, organize and direct the operations of transportation companies such as railways, airlines, bus lines, municipal transit systems, shipping lines and trucking companies, under the direction of a general manager or other senior manager. They also plan, organize and direct companies or departments responsible for the transportation and movement of goods, under the direction of a general manager or other senior manager. "
0811	Managers in natural resources production and fishing	"Managers in natural resources production and fishing are responsible for planning, organizing and directing operations."
0821	Managers in agriculture	"Managers in agriculture plan, organize, direct control and evaluate the operations and functions of farms."
0822	Managers in horticulture	"Managers in horticulture plan, organize, direct and control the activities of nursery and greenhouse staff who grow and market trees, shrubs, flowers and plants."
0823	Managers in aquaculture	"Managers in aquaculture manage operations of facilities that cultivate and harvest fish, shellfish or marine plants to replenish wildlife stocks or for commercial sale."
0911	Manufacturing managers	"Manufacturing managers plan, organize, direct and evaluate the operations of a manufacturing plant or of a production department within a manufacturing plant, under the direction of a general manager or senior manager. "
0912	Utilities managers	"This group includes managers who plan, organize, direct and evaluate the operations of utility companies, utility services or heating oil distribution companies (i.e. managers in water supply, electrical power distribution, natural gas supply, petroleum product distribution, water pollution control and waste systems). They provide services such as water, electricity, natural gas or heating oil to residential, commercial and industrial consumers."
1111	Financial auditors and accountants	"Accountants and financial auditors organize, review and manage financial records and transactions for companies and people. They make sure that information is accurate and meets established accounting standards. This group includes articling students in accounting firms."
1112	Financial and investment analysts	"These analysts collect and analyze financial information in order to provide financial and investment or financing advice for their company or their company's clients. They cover areas such as takeover bids, private placements, mergers or acquisitions."
1113	"Securities agents, investment dealers and brokers"	"Securities agents, investment dealers and brokers buy and sell stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers, banks, trust companies, insurance firms and other establishments. They also buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers."
1114	Other financial officers	"This group includes professional occupations in finance not elsewhere classified, such as financial planners, financial examiners and inspectors, financial investigators, financial underwriters, mortgage brokers and trust officers."
1121	Human resources professionals	"Human resources (HR) professionals develop and manage a range of activities for a company. This may include hiring and promoting employees; training and supporting workers; creating labour relations policies, programs and procedures; and laying off or firing people."
1122	Professional occupations in business management consulting	"Professional occupations in business management consulting provide services to management, such as analyzing the structure, operations, managerial methods or functions of an organization in order to propose, plan and implement improvements."
1123	"Professional occupations in advertising, marketing and public relations"	"People in this group have professional occupations in advertising, marketing and public relations are responsible for analyzing, developing and implementing communication and promotion strategies and information programs."
1211	"Supervisors, general office and administrative support workers"	Workers in this group supervise and co-ordinate the activities of general office workers and office equipment operators.
1212	"Supervisors, finance and insurance office workers"	"Workers in this group oversee and co-ordinate the activities of workers in the following occupations: Accounting and Related Clerks, Payroll Clerks, Banking, Insurance and Other Financial Clerks and Collectors."
1213	"Supervisors, library, correspondence and related information workers"	"Workers in this group oversee and co-ordinate the activities of workers in the following areas: Library Assistants and Clerks, Correspondence, Publication and Regulatory Clerks  and Survey Interviewers and Statistical Clerks."
1214	"Supervisors, mail and message distribution occupations"	"Supervisors of mail and message distribution oversee and co-ordinate the activities of workers in the following groups: Mail, Postal and Related Workers, Letter Carriers and Couriers, Messengers and Door-to-Door Distributors."
1215	"Supervisors, supply chain, tracking and scheduling co-ordination occupations"	"Workers in this group supervise and coordinate the activities of workers in the following occupations: Shippers and Receivers, Storekeepers and Partspersons, Production Logistics Co-ordinators, Purchasing and Inventory Control Workers, Dispatchers and Transportation Route and Crew Schedulers."
1221	Administrative officers	"Administrative officers review, oversee and carry out the office procedures involved in running a business or organization. This group includes administrative officers who are supervisors."
1222	Executive assistants	"Executive assistants co-ordinate administrative procedures, public relations activities, research and analysis for governments, corporations, private firms and associations."
1223	Human resources and recruitment officers	"Human resources and recruitment officers identify and advertise job vacancies, recruit appropriate candidates and help with the selection and reassignment of employees. Workers in this group are familiar with the business operations of their employer and provide support to assist in the success of the business."
1224	Property administrators	Property administrators manage rental and strata properties. They also act as the legal agents of property and strata property owners.
1225	Purchasing agents and officers	"Purchasing agents and officers buy the supplies and business services that their companies need to create their own goods and services. They assess the materials, equipment and service their organization needs and develop requirements for the units to be purchased."
1226	Conference and event planners	"Conference and event planners plan, organize and coordinate conferences, conventions, meetings, seminars, exhibitions, trade shows, festivals and other events."
1227	Court officers and justices of the peace	"Court officers and justices of peace coordinate the administrative and procedural functions of federal, provincial and territorial courts, such as scheduling trials and overseeing the maintenance of court records. They administer oaths, issue subpoenas, summonses and warrants and perform other court-related duties such as conducting bail hearings."
1228	"Employment insurance, immigration, border services and revenue officers"	"Employment insurance, immigration border service and revenue officers work for government agencies. This occupation includes government officers who carry out and enforce laws and regulations related to immigration, employment insurance, customs and tax revenue."
1241	Administrative assistants	Administrative assistants support managers and professional employers by performing a wide variety of administrative duties.
1242	Legal administrative assistants	"Legal administrative assistants perform secretarial and administrative duties in law offices, legal departments of large firms, real estate companies, land title offices, municipal, provincial and federal courts and government."
1243	Medical administrative assistants	"Medical administrative assistants perform a variety of secretarial and administrative duties in doctors' offices, hospitals, medical clinics and other medical settings."
1251	"Court reporters, medical transcriptionists and related occupations"	"Court reporters record and transcribe verbatim the proceedings of courts, legislative assemblies and committees, prepare transcripts for use by judges, tribunals and quasi-judicial panels. Medical transcriptionists record, transcribe and edit dictation by physicians and other health care providers, surgical proceedings, health-related reports and other medical documentation. "
1252	Health information management occupations	"People in this occupation collect, code, record, review and manage health information."
1253	Records management technicians	"Records management technicians operate and maintain systems for the collection, classification, retrieval and retention of records, images, documents and information. They work throughout the private and public sectors."
1254	Statistical officers and related research support occupations	"Workers in this group provide statistical and research support services to a wide range of businesses and organizations. They conduct statistical routines, monitor trends, compile data, prepare charts, graphs, summaries and reports in support of organizational information needs and research activities. "
1311	Accounting technicians and bookkeepers	"Accounting technicians and bookkeepers manage the way the day-to-day financial records of a business are kept. They may work with Chartered Professional Accounts (CPAs) and other accounting professionals or they may offer personal bookkeeping services.
"
1312	Insurance adjusters and claims examiners	Insurance adjusters and claims examiners investigate insurance claims and determine the amount of loss or damages covered by insurance policies. They also examine claims investigated by insurance adjusters and authorize payments.
1313	Insurance underwriters	"Insurance underwriters review and evaluate insurance applications to determine insurance risks, insurance premiums and extent of insurance coverage according to company policies."
1314	"Assessors, valuators and appraisers"	"Assessors, valuators and appraisers determine the value of land, businesses, estates and other real property, for purposes of sale, purchase, taxation or disposal of assets. They also determine the value of personal and household items."
1315	"Customs, ship and other brokers"	"Customs, ships and other brokers clear goods through customs and to their destination on behalf of importer and exporter clients. On behalf of clients, they buy and sell cargo space on ships. They also buy and sell ships, yachts and other watercraft. This  group includes brokers, not elsewhere classified, who negotiate commercial transactions or other services between parties on behalf of clients."
1411	General office support workers	"General office support workers perform clerical duties, including preparing correspondence, reports, statements and other material. They verify, record and process forms and documents. They also operate office equipment and answer telephones."
1414	Receptionists	"Receptionists work in hospitals, medical and dental centres, private businesses and public sector organizations. They greet visitors, answer phones, schedule appointments and perform other clerical duties."
1415	Personnel clerks	"Personnel clerks help personnel officers and human resources specialists by compiling, maintaining and processing information relating to staffing, recruitment, training, labour relations, performance evaluations and classifications."
1416	Court clerks	"Court clerks perform support functions in courts of law, such as calling court to order, preparing court dockets and maintaining exhibits."
1422	Data entry clerks	"Data entry clerks input coded, statistical, financial and other information into databases, spreadsheets or other templates using a keyboard, mouse, optical scanner, speech recognition software or other data entry tools."
1423	Desktop publishing operators and related occupations	Workers in this group use computers to enter text into a typesetting system and operate typesetting output equipment to produce text that is ready to print.
1431	Accounting and related clerks	"Accounting and related clerks calculate, prepare and process bills, invoices, accounts payable and receivable, budgets and other financial records according to established procedures."
1432	Payroll clerks	"Payroll clerks collect, verify and process payroll information and determine pay and benefit entitlements for employees within a department, company or other establishment."
1434	"Banking, insurance and other financial clerks"	"Banking, insurance and other financial clerks compile, process and maintain banking, insurance and other financial information."
1435	Collectors	"These workers collect payments on overdue accounts and bad cheques, and locate debtors to make collection arrangements."
1451	Library assistants and clerks	"Library assistants and clerks issue and receive library materials, sort and shelve books, provide general library information to users, and perform clerical duties."
1452	"Correspondence, publication and regulatory clerks"	"Workers in this group write correspondence, proofread material for accuracy, and compile material for publication. They verify, record and process forms and documents, such as applications, licences, permits, contracts, registrations and requisitions, and perform other related clerical duties."
