Id,NOC,Title,EducationId,WorkExperienceId,Income
1,0011,Legislators,4,4,59545
2,0012,Senior government managers and officials,4,4,108727
3,0013,"Senior managers - financial, communications and other business services",4,4,119882
4,0014,"Senior managers - health, education, social and community services and membership organizations",4,4,96077
5,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",4,4,82384
6,0016,"Senior managers - construction, transportation, production and utilities",4,4,109694
7,0111,Financial managers,4,4,83096
8,0112,Human resources managers,4,4,87210
9,0113,Purchasing managers,4,4,87401
10,0114,Other administrative services managers,4,4,70928
11,0121,"Insurance, real estate and financial brokerage managers",4,4,84634
12,0122,"Banking, credit and other investment managers",4,4,76997
13,0124,"Advertising, marketing and public relations managers",4,4,70693
14,0125,Other business services managers,4,4,59114
15,0131,Telecommunication carriers managers,4,4,87959
16,0132,Postal and courier services managers,3,4,57643
17,0211,Engineering managers,4,4,117243
18,0212,Architecture and science managers,4,4,92217
19,0213,Computer and information systems managers,4,4,99664
20,0311,Managers in health care,4,3,86343
21,0411,Government managers - health and social policy development and program administration,4,4,91385
22,0412,"Government managers - economic analysis, policy development and program administration",4,4,95970
23,0413,Government managers - education policy development and program administration,4,4,93187
24,0414,Other managers in public administration,4,4,88883
25,0421,Administrators - post-secondary education and vocational training,4,3,77591
26,0422,School principals and administrators of elementary and secondary education,4,4,101448
27,0423,"Managers in social, community and correctional services",4,3,61024
28,0431,Commissioned police officers,3,4,118976
29,0432,Fire chiefs and senior firefighting officers,3,4,122445
30,0511,"Library, archive, museum and art gallery managers",4,4,64837
31,0512,"Managers - publishing, motion pictures, broadcasting and performing arts",4,4,57151
32,0513,"Recreation, sports and fitness program and service directors",4,4,53753
33,0601,Corporate sales managers,4,4,93270
34,0621,Retail and wholesale trade managers,3,4,52000
35,0631,Restaurant and food service managers,2,3,35826
36,0632,Accommodation service managers,4,3,47069
37,0651,"Managers in customer and personal services, n.e.c.",3,4,35382
38,0711,Construction managers,3,4,76911
39,0712,Home building and renovation managers,3,4,40105
40,0714,Facility operation and maintenance managers,3,4,67464
41,0731,Managers in transportation,3,4,77296
42,0811,Managers in natural resources production and fishing,4,3,111568
43,0821,Managers in agriculture,3,3,23964
